OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
95,2.405688,0.02485088,1e-06,0.008814069,0.000936998,0.008856569,0.00034425,0.00223858,0.000522749,0.002236829,0.000575999,0.000323833
96,2.430539,0.02452504,9.17e-07,0.008704819,0.001494247,0.008226487,0.000354166,0.00223283,0.000381999,0.002242747,0.000577165,0.000309666
97,2.455064,0.02528162,1e-06,0.009379151,0.001296915,0.008334403,0.000347833,0.002241246,0.000379499,0.002400496,0.000585666,0.000315416
98,2.480346,0.02471346,9.17e-07,0.008942819,0.001176664,0.008360237,0.000344499,0.002240413,0.000391833,0.002348996,0.000590916,0.000316166
99,2.505059,0.02441513,1e-06,0.008574486,0.001281915,0.008346819,0.00034275,0.002272663,0.000384832,0.002239163,0.000664916,0.000306583
100,2.529474,0.02464821,1.25e-06,0.008949236,0.001223248,0.008244736,0.000344083,0.002270163,0.000488499,0.002240413,0.000582749,0.000303833
101,2.554122,0.02476771,1.416e-06,0.008835736,0.001582914,0.00821607,0.000362499,0.002261913,0.00038175,0.002241163,0.000575665,0.000308583
102,2.57889,0.02534804,1.167e-06,0.009460818,0.001289748,0.008220653,0.000358083,0.002371413,0.000389666,0.002352079,0.000576999,0.000327416
103,2.604238,0.02490863,1.333e-06,0.009024152,0.000964165,0.008818569,0.000345833,0.002242246,0.000383666,0.002233413,0.000584416,0.000310833
104,2.629147,0.02533929,1.25e-06,0.009416818,0.001259165,0.008254319,0.000351667,0.002237496,0.000397499,0.002339413,0.000684249,0.000397416
105,2.654486,0.02541679,1e-06,0.009557734,0.001270665,0.008474903,0.000344499,0.002237747,0.000387332,0.002245413,0.000586499,0.000311
106,2.679903,0.02433321,1e-06,0.008588486,0.001431164,0.00820107,0.000343917,0.002237163,0.000395832,0.00223733,0.000585166,0.000312083
107,2.704236,0.02551554,1.25e-06,0.009448902,0.000955248,0.008791986,0.000346083,0.002419579,0.000395833,0.002256329,0.000586583,0.000313749
108,2.729752,0.02508921,9.16e-07,0.00860407,0.00160883,0.00867832,0.000346666,0.002236496,0.000393499,0.00223683,0.000592666,0.000390916
109,2.754841,0.02476196,1.333e-06,0.008888486,0.001326248,0.008196986,0.000408666,0.00241483,0.000386916,0.002239079,0.000583666,0.00031575
110,2.779603,0.02544262,1e-06,0.009252069,0.001246247,0.008722486,0.00034425,0.002240329,0.000382166,0.002354163,0.000585083,0.000314832
111,2.805045,0.02443238,1.083e-06,0.008684403,0.001384331,0.008214237,0.000343499,0.002236913,0.000391249,0.002273497,0.000587499,0.000315666
112,2.829478,0.02503846,1.083e-06,0.009262985,0.001423164,0.008235237,0.000345499,0.002237497,0.000399999,0.002235747,0.000577499,0.000319749
