OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
49,17.38178,0.3311905,1.417e-06,0.187908,1.083e-06,0.02096463,0.0292802,0.02428296,0.01923639,0.008321987,0.01608431,0.007193322,0.004108161,0.005689574,0.008118488
50,17.71298,0.3329661,1.583e-06,0.188714,1e-06,0.02101722,0.02930629,0.02429205,0.0203583,0.008398154,0.01615348,0.006891573,0.004022577,0.005684575,0.00812532
51,18.04594,0.333566,1.5e-06,0.1890271,1.167e-06,0.02099597,0.02927671,0.02449746,0.0204678,0.008399737,0.01615364,0.006852406,0.004118327,0.005643658,0.008130487
52,18.37951,0.3320173,1.417e-06,0.1888563,1e-06,0.02086205,0.02931687,0.02434713,0.0192163,0.008284071,0.01609431,0.006772739,0.003950161,0.007235905,0.007079073
53,18.71152,0.3312059,1.333e-06,0.1882195,1.083e-06,0.02102513,0.02931462,0.02430571,0.01927097,0.008286987,0.01598539,0.00683374,0.00409966,0.005782325,0.008079487
54,19.04273,0.3564016,1.333e-06,0.1868751,1e-06,0.02124455,0.04862968,0.02842029,0.02304597,0.007316155,0.01651198,0.007122489,0.004119577,0.006126907,0.006986573
55,19.39913,0.3560208,1.416e-06,0.1871783,9.16e-07,0.02149063,0.04866467,0.02840762,0.02189447,0.007339655,0.01644289,0.007019906,0.004355827,0.00608424,0.007140239
56,19.75515,0.3466522,1.416e-06,0.1817897,1.166e-06,0.02136438,0.02927729,0.04075335,0.01935097,0.008028237,0.0196303,0.007936821,0.004673576,0.005673991,0.008170988
57,20.10181,0.3542397,1.167e-06,0.1846146,9.17e-07,0.02176747,0.04868134,0.02838946,0.02190272,0.007352405,0.01652697,0.006995406,0.004267993,0.005629325,0.008109904
58,20.45604,0.3271567,1.417e-06,0.1842397,1.5e-06,0.0209753,0.02934912,0.02427138,0.01927355,0.00834132,0.01623506,0.006852822,0.003955328,0.005633824,0.008026321
59,20.7832,0.3259742,1.333e-06,0.1822213,1e-06,0.02128738,0.02925829,0.02442554,0.0192573,0.008391404,0.01598348,0.007011239,0.004091411,0.005995574,0.008048904
60,21.10918,0.3258302,1.75e-06,0.1834982,1e-06,0.02115172,0.0292792,0.02429363,0.01945764,0.008301487,0.01613648,0.00681049,0.00395966,0.005952324,0.006986656
61,21.43501,0.3280493,1.25e-06,0.185228,9.17e-07,0.02112897,0.02930504,0.02438721,0.01944814,0.00830882,0.01619973,0.00682549,0.004137577,0.00608399,0.006994156
62,21.76306,0.376914,1.583e-06,0.1810826,9.17e-07,0.02411338,0.0728498,0.02847662,0.0217768,0.007306655,0.01653639,0.007015072,0.004104244,0.005652491,0.007997404
63,22.13997,0.3246296,1.417e-06,0.1821647,1.166e-06,0.02119663,0.02924037,0.0243493,0.0192213,0.008339904,0.01617498,0.006907572,0.004145244,0.005897908,0.006989072
64,22.4646,0.3259175,1.417e-06,0.183811,1.166e-06,0.02099097,0.02933229,0.02428788,0.0191823,0.008339154,0.01614973,0.007039573,0.003964494,0.005827658,0.006989905
65,22.79052,0.3283126,1.417e-06,0.185745,8.34e-07,0.0212333,0.02928846,0.02435721,0.01923197,0.008337154,0.01610389,0.006837906,0.004116827,0.005994574,0.007064073
66,23.11883,0.3824104,1.416e-06,0.1845211,1.333e-06,0.02589446,0.07293505,0.02841087,0.02185672,0.007371322,0.01652548,0.006996989,0.004153327,0.005654408,0.008087904
67,23.50124,0.3840946,1.333e-06,0.1841545,1.166e-06,0.02878079,0.07290481,0.02842021,0.02187355,0.007339572,0.01648623,0.006992989,0.004283827,0.005875074,0.006980572
68,23.88533,0.3790016,1.5e-06,0.1849793,1.167e-06,0.02191572,0.07290614,0.02841362,0.02190922,0.007353989,0.01655947,0.007056073,0.004141827,0.005636158,0.008127404
69,24.26434,0.3601696,1.583e-06,0.1916953,1.334e-06,0.02129813,0.04871434,0.02839237,0.02190322,0.007372905,0.01641323,0.007043489,0.004290827,0.006044574,0.006998322
70,24.62451,0.3843361,1.333e-06,0.184413,1e-06,0.02886054,0.07289255,0.02842262,0.02190822,0.007344488,0.01652931,0.006967906,0.00419716,0.005810741,0.006987156
71,25.00884,0.3860468,1.417e-06,0.1859345,9.17e-07,0.02867537,0.07292522,0.02848162,0.02188938,0.007372822,0.01646189,0.007024989,0.004314826,0.005965408,0.006998406
72,25.39489,0.3832847,1.5e-06,0.1845622,9.17e-07,0.02651338,0.0729258,0.02844471,0.02193263,0.007404489,0.01661456,0.007065822,0.004136077,0.005691241,0.007991321
73,25.77817,0.3865793,1.166e-06,0.1854452,1.166e-06,0.02888921,0.07288764,0.02840837,0.02194172,0.007386739,0.01653414,0.007047156,0.00431816,0.005627324,0.008091321
74,26.16475,0.3843348,1.834e-06,0.1838235,1.083e-06,0.02890946,0.0729268,0.02844712,0.02191288,0.007332489,0.01648714,0.007104489,0.004141827,0.005604575,0.007641655
75,26.54909,0.3863392,1.5e-06,0.1854146,1e-06,0.02890496,0.07290697,0.02841437,0.02190005,0.007363489,0.01637764,0.006978072,0.004331827,0.005638074,0.008106655
76,26.93543,0.3273389,1.584e-06,0.1844537,1.083e-06,0.0210623,0.0292897,0.02430313,0.01926864,0.008346571,0.01618414,0.006794073,0.003960827,0.005648075,0.008025071
77,27.26276,0.379888,1.417e-06,0.1843795,9.17e-07,0.02378113,0.07291289,0.02843054,0.02194738,0.007405072,0.01646681,0.006997989,0.004269411,0.005775491,0.007519405
78,27.64265,0.3277317,1.834e-06,0.1846526,8.33e-07,0.02101172,0.02929645,0.02429271,0.01929214,0.008334238,0.01632398,0.006897072,0.003962077,0.005656492,0.008009571
79,27.97038,0.3286874,1.333e-06,0.1847862,1e-06,0.02096172,0.02927204,0.02526213,0.01916747,0.008300904,0.01603031,0.007001823,0.004100244,0.005680991,0.008121237
80,28.29907,0.3223958,1.334e-06,0.1845964,1.083e-06,0.02864712,0.01395023,0.02897479,0.01849347,0.007029406,0.01650914,0.007016656,0.004159827,0.00600824,0.007008156
81,28.62147,0.3320895,1.667e-06,0.1890793,8.33e-07,0.02093788,0.02936254,0.02427271,0.0192033,0.008410071,0.01613814,0.006796907,0.00412641,0.005640908,0.008118821
82,28.95356,0.3210493,1.5e-06,0.1842566,1e-06,0.02861954,0.01396081,0.02817712,0.01853372,0.007006989,0.01648172,0.007033989,0.004118243,0.005658908,0.007199073
83,29.27461,0.3861695,7.833e-06,0.1857113,1.25e-06,0.02824746,0.07289722,0.02847087,0.02189797,0.007356322,0.01647031,0.007017406,0.00427591,0.005684241,0.008131404
84,29.66078,0.3806709,1.583e-06,0.1841745,1.166e-06,0.02456338,0.07281339,0.02841971,0.0219028,0.007319905,0.01646122,0.007115072,0.004133577,0.005641242,0.008123321
85,30.04145,0.3854714,1.416e-06,0.1848532,1.083e-06,0.02870721,0.07288047,0.02839229,0.02187805,0.007355906,0.01641731,0.007001572,0.00431741,0.005734408,0.007931071
86,30.42692,0.3839012,1.417e-06,0.1842727,1.25e-06,0.02851446,0.07292922,0.02840229,0.02189472,0.007409822,0.01650981,0.006987573,0.004143743,0.005645075,0.007189072
