OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
59,34.24017,0.5417444,1.416e-06,0.1877566,1.167e-06,0.02117755,0.04864134,0.03081662,0.02395105,0.02620996,0.0631839,0.02434055,0.02706879,0.06310965,0.01550197,0.009983818
60,34.78192,0.5423482,1.333e-06,0.1864932,1e-06,0.02117263,0.04868042,0.03078387,0.0238828,0.02586513,0.06309848,0.02827612,0.02635104,0.06278332,0.01533448,0.009624318
61,35.32426,0.520601,1.25e-06,0.1890856,1.167e-06,0.02085755,0.02923671,0.02659163,0.02136372,0.02678696,0.06320907,0.02849662,0.02631979,0.06314307,0.01545414,0.01005373
62,35.84487,0.5774588,1.334e-06,0.1885035,1.084e-06,0.02878896,0.07290088,0.0308357,0.0237848,0.02639862,0.0632214,0.02825196,0.02533771,0.06372773,0.01480973,0.0108954
63,36.42232,0.5193072,1.333e-06,0.1877315,1.084e-06,0.02086605,0.02932545,0.02671904,0.02146422,0.02602954,0.0647749,0.02830812,0.02653688,0.06602706,0.01454673,0.006975322
64,36.94163,0.538457,1.417e-06,0.1823249,1.25e-06,0.02102413,0.04863951,0.03083478,0.02380455,0.02586638,0.06261074,0.02864462,0.02663771,0.06271965,0.01523564,0.01011173
65,37.48009,0.5138628,1.416e-06,0.1872865,1.417e-06,0.02101472,0.02932745,0.02774412,0.02153738,0.02604013,0.06338565,0.02438121,0.02591721,0.06597565,0.01417331,0.007076656
66,37.99395,0.5132914,1.667e-06,0.1873717,1e-06,0.02129388,0.02927937,0.02685787,0.0213343,0.02623571,0.06328107,0.02473063,0.02586463,0.06581698,0.01422381,0.006998822
67,38.50724,0.5292933,1.75e-06,0.1901831,1.084e-06,0.02119072,0.02930204,0.02679787,0.02148763,0.02611138,0.0647589,0.03941044,0.02600213,0.06294665,0.01392206,0.007177488
68,39.03654,0.5134147,1.5e-06,0.1876037,9.17e-07,0.02104863,0.02931454,0.02666863,0.02140538,0.02703996,0.06316698,0.02443571,0.02634079,0.0653389,0.01407523,0.006973823
69,39.54995,0.5723883,1.5e-06,0.187241,1.333e-06,0.02855196,0.07290389,0.03128245,0.02380613,0.02588379,0.06224649,0.02816579,0.02566821,0.06220699,0.01393048,0.01049823
70,40.12234,0.5143228,1.417e-06,0.1882938,1.083e-06,0.02096538,0.02931904,0.02672129,0.02137747,0.02679721,0.06329132,0.02426413,0.02606546,0.0656089,0.01449123,0.007125072
71,40.63666,0.5158724,1.583e-06,0.1884646,1.25e-06,0.02129822,0.02982787,0.02668329,0.02142797,0.02663746,0.06384032,0.02443604,0.02640846,0.0655069,0.01420673,0.007131656
