OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
49,1.345586,0.0233068,1.167e-06,0.009937817,9.17e-07,0.001184164,0.001357415,0.002404162,0.002354247,0.001206831,0.002186913,0.001181165,0.000667999,0.000498582,0.000325416
50,1.368892,0.02653146,1.083e-06,0.01026873,1e-06,0.001206165,0.001355331,0.002400496,0.005189241,0.001201248,0.002202163,0.001177082,0.000669499,0.000530666,0.000328749
51,1.395424,0.0238748,1.167e-06,0.009551151,1.167e-06,0.001367664,0.001414331,0.002417746,0.002973329,0.001211914,0.002229413,0.001178332,0.000669999,0.000519415,0.000339167
52,1.419299,0.02305955,1e-06,0.009592567,1e-06,0.001187665,0.001387665,0.002467662,0.002303163,0.001190832,0.002211496,0.001182915,0.000681082,0.000529416,0.000323083
53,1.442358,0.0231348,1.25e-06,0.009801318,8.33e-07,0.001170581,0.001345665,0.002404829,0.002314997,0.001201998,0.002208996,0.001179831,0.000668083,0.000499166,0.000337249
54,1.465493,0.02572854,1.083e-06,0.009580984,1e-06,0.001219832,0.001389664,0.002404996,0.00223583,0.00402466,0.002195997,0.001171581,0.000667999,0.000500916,0.000333999
55,1.491222,0.02321046,1e-06,0.009729901,9.17e-07,0.001193915,0.001334497,0.002405746,0.002348663,0.001314581,0.002198664,0.001175581,0.000668749,0.000496582,0.000341667
56,1.514432,0.02613737,1.166e-06,0.009358819,1.5e-06,0.001399747,0.001724998,0.002425662,0.002259913,0.00400491,0.00228333,0.001174998,0.000667916,0.000497166,0.000337249
57,1.540569,0.0232968,1.25e-06,0.009719818,9.17e-07,0.001231831,0.001398498,0.002401579,0.002344996,0.001315331,0.00223108,0.001174498,0.000665666,0.000488832,0.0003225
58,1.563866,0.02355255,1e-06,0.01016232,9.17e-07,0.001210915,0.001356164,0.002412163,0.002317413,0.001192664,0.002221914,0.001179581,0.000670332,0.000502333,0.000324833
59,1.587419,0.02598204,1.167e-06,0.009601484,1.417e-06,0.001314081,0.001404998,0.002413996,0.00224433,0.00413191,0.002196163,0.001174081,0.000665666,0.000495666,0.000337082
60,1.613401,0.02294388,1.417e-06,0.009464984,1.167e-06,0.001193498,0.001350081,0.002404996,0.002324163,0.001321498,0.002208663,0.001172332,0.000668665,0.000508583,0.000323832
61,1.636345,0.02586996,1.084e-06,0.009582484,2e-06,0.001317581,0.001412998,0.00241158,0.002249746,0.004024577,0.002189663,0.001173081,0.000665999,0.000497916,0.000341249
62,1.662215,0.02304913,1.5e-06,0.009630651,9.16e-07,0.001186832,0.001395247,0.002403413,0.002361913,0.001190665,0.002190746,0.001163748,0.000667416,0.000518166,0.000337916
63,1.685264,0.03899444,1.166e-06,0.01122906,8.34e-07,0.001576664,0.004996908,0.00240708,0.002748995,0.001469665,0.002948745,0.001944163,0.008799069,0.000546666,0.000325416
64,1.724258,0.03368803,1.416e-06,0.007916321,1.25e-06,0.001269415,0.00186433,0.003281994,0.004585076,0.009418152,0.002700912,0.001171665,0.000663332,0.000486749,0.000327416
65,1.757946,0.03333886,1.333e-06,0.006995489,8.33e-07,0.001170082,0.001332247,0.01116948,0.00227333,0.001181581,0.00216833,0.004030743,0.002109497,0.000575332,0.000330583
