OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
47,1.530658,0.03079954,1.084e-06,0.01403398,9.17e-07,0.001074998,0.001878747,0.003422996,0.002951662,0.001475415,0.002891996,0.001466748,0.000860748,0.000519416,0.000220833
48,1.561457,0.02733363,1.083e-06,0.01426306,9.16e-07,0.001101332,0.001361332,0.00241258,0.002272246,0.001178165,0.002195164,0.001166415,0.000666499,0.000474333,0.000240499
49,1.588791,0.02680813,9.17e-07,0.01347198,9.16e-07,0.001096332,0.001360498,0.00241633,0.002269497,0.001195415,0.00220483,0.001168332,0.000667666,0.000709999,0.000245416
50,1.615599,0.03108546,9.16e-07,0.01424315,9.17e-07,0.001035332,0.00195133,0.003294662,0.003154163,0.001484831,0.002887412,0.001454498,0.000856916,0.000502082,0.00021925
51,1.646684,0.02732171,1.25e-06,0.01342348,8.33e-07,0.001226915,0.001414165,0.002404663,0.002907996,0.001190998,0.00220558,0.001176832,0.000668999,0.000477916,0.000222083
52,1.674006,0.02722479,1.083e-06,0.0140884,9.17e-07,0.001066665,0.001434415,0.002412329,0.002259914,0.001194915,0.00221608,0.001163582,0.000674832,0.000490333,0.000221333
53,1.701231,0.02699838,1.334e-06,0.01374415,7.5e-07,0.001186165,0.001419665,0.002412246,0.002296331,0.001184915,0.002209496,0.001177499,0.000665916,0.000480082,0.000219833
54,1.728229,0.03078604,1e-06,0.01372673,6.67e-07,0.001072915,0.001868664,0.003259912,0.003281162,0.001610998,0.002883996,0.001465248,0.000857749,0.000535499,0.0002215
55,1.759015,0.02699246,1.167e-06,0.01372773,1e-06,0.001090248,0.001526831,0.002424247,0.002254663,0.001200749,0.002207496,0.001166499,0.000670166,0.000480582,0.000241083
56,1.786008,0.02673396,1.25e-06,0.01359506,8.33e-07,0.001097249,0.001344581,0.002421247,0.002278163,0.001184249,0.002200913,0.001223332,0.000666415,0.000477916,0.00024275
57,1.812742,0.02706438,1e-06,0.01384856,7.5e-07,0.001172665,0.001431831,0.002418997,0.002272747,0.001190581,0.002195164,0.001156665,0.000668332,0.00048825,0.000218833
58,1.839806,0.02734579,1.083e-06,0.01414831,9.16e-07,0.001082665,0.001363082,0.00239883,0.002271163,0.001178249,0.002181997,0.001332831,0.000668332,0.000474,0.000244333
59,1.867152,0.03412295,1.5e-06,0.01739556,1e-06,0.001269082,0.001418914,0.003638245,0.002960329,0.001476915,0.002889913,0.001470248,0.000861832,0.000517499,0.000221916
60,1.901275,0.03031004,1.084e-06,0.01390698,9.17e-07,0.001102165,0.001926497,0.003275329,0.002928996,0.001462998,0.002888412,0.001438748,0.000679333,0.000475832,0.00022275
61,1.931585,0.02654155,1.166e-06,0.01342382,8.33e-07,0.001080582,0.001373165,0.002405913,0.00222783,0.001236165,0.00225408,0.001180499,0.000668249,0.000470749,0.0002185
62,1.958127,0.02718446,1.084e-06,0.0140139,9.16e-07,0.001070749,0.001426165,0.002403496,0.002255747,0.001268165,0.00221233,0.001167582,0.000666249,0.000477666,0.000220416
63,1.985311,0.02933246,1.083e-06,0.01377373,1.083e-06,0.001116332,0.001332415,0.002525579,0.003152246,0.001474831,0.002877746,0.001467248,0.000863166,0.000523249,0.00022375
64,2.014643,0.03036854,9.16e-07,0.01351456,9.16e-07,0.001137082,0.001919414,0.003257745,0.002926413,0.001458248,0.002878663,0.001457914,0.001104415,0.00049275,0.000219499
65,2.045012,0.02692621,1.083e-06,0.01379581,9.17e-07,0.001113582,0.001397248,0.002405413,0.00225783,0.001182165,0.002253414,0.001172165,0.000665749,0.000461416,0.000219416
66,2.071938,0.02626488,1.083e-06,0.01315457,7.5e-07,0.001034998,0.001426248,0.002416164,0.00225258,0.001263498,0.00218058,0.001161915,0.000662916,0.00047,0.000239583
67,2.098203,0.02810671,1e-06,0.01302665,7.5e-07,0.001029082,0.001440748,0.00242083,0.00275333,0.001478581,0.002883912,0.001460415,0.000869415,0.000521416,0.000220583
68,2.12631,0.0350287,1.333e-06,0.01837139,7.5e-07,0.001035499,0.001957914,0.003291245,0.002948996,0.001469748,0.002877912,0.001466915,0.000873665,0.00051575,0.000217583
69,2.161338,0.02976021,1.083e-06,0.01294798,9.17e-07,0.001060165,0.00193958,0.003401579,0.002951996,0.001473498,0.002889829,0.001472915,0.000863248,0.000537833,0.000219583
70,2.191099,0.02735488,1.25e-06,0.01409923,6.66e-07,0.001155665,0.001410832,0.002410496,0.00232583,0.001209665,0.002207997,0.001164915,0.000663416,0.000485166,0.00021975
71,2.218454,0.02945629,1e-06,0.01327398,7.5e-07,0.001147832,0.001408081,0.003101913,0.002967412,0.001457665,0.002867412,0.001600998,0.000861166,0.000549166,0.000218916
72,2.24791,0.03149554,1e-06,0.01469098,9.17e-07,0.001259248,0.001841081,0.003269745,0.002994163,0.001472748,0.002877496,0.001471914,0.000861166,0.000532999,0.000222083
73,2.279405,0.03214229,1.083e-06,0.01397506,1e-06,0.001076832,0.001363331,0.002403997,0.002320413,0.001201165,0.002637997,0.00462066,0.001810831,0.000508916,0.000220999
74,2.311548,0.03629737,1.333e-06,0.01393965,1e-06,0.001160499,0.001411914,0.002396914,0.00225808,0.001321915,0.008268321,0.003928245,0.000865832,0.000522749,0.000220917
75,2.347845,0.03671453,1.167e-06,0.01399906,7.5e-07,0.001140665,0.006357741,0.003827912,0.002936329,0.001457915,0.003422828,0.001506331,0.000868416,0.000948498,0.000246917
76,2.38456,0.03161604,1e-06,0.01405831,8.33e-07,0.001177915,0.001404748,0.002399247,0.00236433,0.002906996,0.004779243,0.001177665,0.000662333,0.000461832,0.000221583
77,2.416176,0.0316207,1e-06,0.01472873,6.67e-07,0.001154415,0.001331665,0.002421996,0.002277497,0.001180748,0.002950246,0.004199578,0.000668665,0.000484416,0.000221083
78,2.447796,0.03169271,1.25e-06,0.01380906,8.33e-07,0.001054665,0.001438915,0.002410747,0.00226458,0.001166415,0.00224683,0.005891158,0.000710916,0.000474749,0.000222583
79,2.479489,0.03123454,1.167e-06,0.0137804,7.5e-07,0.001267998,0.001311832,0.00240858,0.00229758,0.001183248,0.00224708,0.005326243,0.000698916,0.000490249,0.0002205
80,2.510724,0.03363837,1e-06,0.01383681,7.5e-07,0.001070498,0.001425332,0.002402996,0.002266581,0.001173248,0.003070329,0.00671774,0.000908999,0.000541666,0.000222416
81,2.544362,0.03058746,1e-06,0.01367948,8.34e-07,0.001217915,0.001888664,0.003277245,0.002970079,0.001465915,0.002874162,0.001597165,0.000863832,0.000534499,0.000216667
82,2.574949,0.03078662,1.083e-06,0.01391656,6.67e-07,0.001161581,0.001916414,0.003269662,0.00292483,0.001595997,0.00289658,0.001461331,0.000854665,0.000566166,0.000221083
83,2.605736,0.02759013,1e-06,0.01422123,8.34e-07,0.001049498,0.001434582,0.002481579,0.002257331,0.001182748,0.002228497,0.001174831,0.000668166,0.000665833,0.000223999
84,2.633326,0.02885688,1.333e-06,0.0134894,7.5e-07,0.001121832,0.001370165,0.002413913,0.003036162,0.001472415,0.002892496,0.001465081,0.000856666,0.000516666,0.000219999
85,2.662183,0.03142379,1e-06,0.0145444,1e-06,0.001113082,0.001914914,0.003269912,0.002932412,0.001664748,0.002902996,0.001455748,0.000862749,0.000518165,0.000242667
86,2.693607,0.03008779,1.083e-06,0.0131864,1e-06,0.001209999,0.001940914,0.003371161,0.00295383,0.001471831,0.002878829,0.001471081,0.000860499,0.000523166,0.000218
87,2.723695,0.02719729,1.25e-06,0.0140669,8.34e-07,0.001059082,0.001421664,0.002414747,0.002265747,0.001194081,0.002236081,0.001176415,0.000664249,0.000483249,0.000213
88,2.750892,0.02708305,8.33e-07,0.01394731,5.83e-07,0.001102165,0.001337999,0.002408496,0.00227533,0.001204499,0.00226108,0.001170915,0.000668082,0.000464083,0.000241666
89,2.777975,0.03075079,1.083e-06,0.01356165,5.83e-07,0.001103999,0.00186708,0.003283162,0.003059496,0.001918081,0.002874162,0.001464082,0.000861165,0.00051375,0.000242499
90,2.808726,0.02721555,9.16e-07,0.01402531,9.17e-07,0.001164831,0.001393998,0.00241258,0.00227383,0.001178499,0.00220408,0.001181415,0.000669999,0.000463083,0.000246083
91,2.835941,0.0271313,1.334e-06,0.01389981,6.66e-07,0.001090082,0.001406165,0.00240408,0.002272913,0.001259665,0.002221247,0.001175998,0.000669166,0.000511916,0.00021825
92,2.863073,0.02715063,1e-06,0.0139214,7.5e-07,0.001176081,0.001415415,0.002412747,0.002297413,0.001180999,0.002213663,0.001169999,0.000673999,0.000468666,0.000218499
93,2.890223,0.02716813,1e-06,0.01396965,8.33e-07,0.001084249,0.001356331,0.002520663,0.002263747,0.001159165,0.002245497,0.001180915,0.000667083,0.000477582,0.000241417
94,2.917391,0.02795929,1.5e-06,0.01331281,7.5e-07,0.001218749,0.001371748,0.00239733,0.002249413,0.001260165,0.003064912,0.001460248,0.000860499,0.000542333,0.000218833
95,2.945351,0.03662453,1.5e-06,0.01894189,1.083e-06,0.001076332,0.001954831,0.003505078,0.003259745,0.001498998,0.002917163,0.001714581,0.000863582,0.000554749,0.000335
96,2.981975,0.03048621,1.083e-06,0.01371948,7.5e-07,0.001081332,0.001854081,0.003416745,0.002946996,0.001485831,0.002883079,0.001476415,0.000863582,0.000535916,0.000220916
97,3.012461,0.02720188,1e-06,0.01401073,1e-06,0.001153665,0.001423498,0.002412663,0.002285414,0.001190248,0.00220383,0.001165249,0.000666999,0.000467332,0.00022025
98,3.039663,0.02707254,1.083e-06,0.01383273,8.33e-07,0.001128915,0.001328915,0.00255083,0.00228608,0.001183915,0.002196497,0.001165831,0.000666583,0.000487499,0.000242833
99,3.066736,0.02686779,9.16e-07,0.01346915,6.67e-07,0.001243415,0.001370081,0.002403497,0.002256746,0.001166415,0.002414414,0.001170831,0.000668499,0.000482333,0.000220833
100,3.093604,0.02824754,1.083e-06,0.01400915,8.33e-07,0.001094416,0.001362581,0.00240833,0.002295497,0.001317498,0.002664829,0.001467332,0.000863665,0.000525333,0.000236999
101,3.121851,0.03017304,1.167e-06,0.01332898,8.33e-07,0.001121832,0.001921664,0.003387245,0.002966579,0.001487082,0.002884162,0.001466415,0.000859582,0.000528333,0.000219166
