OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
87,0.8473482,0.008241987,7.5e-07,0.001924664,0.001319748,0.002855828,0.00010625,0.000815915,0.000121417,0.000792665,0.00020325,0.0001015
88,0.8555902,0.009407984,1e-06,0.001941163,0.001817331,0.003493494,0.000113833,0.000809915,0.000126584,0.000791748,0.000203583,0.000109333
89,0.8649982,0.01107907,1.083e-06,0.002287413,0.001460415,0.005078408,0.000124166,0.000813999,0.000131833,0.000833666,0.000209666,0.000138416
90,0.8760772,0.00840807,9.17e-07,0.001928914,0.001330331,0.002999912,0.000107333,0.000816165,0.00012175,0.000783082,0.000215666,0.000104
91,0.8844853,0.009675901,1.167e-06,0.002008413,0.001573581,0.003796827,0.000112583,0.000943749,0.000129416,0.000795082,0.000205,0.000110083
92,0.8941612,0.01104306,1e-06,0.002301913,0.001301831,0.005176908,0.000127083,0.000817249,0.000132333,0.000833499,0.000207,0.000144249
93,0.9052043,0.008306154,1.584e-06,0.001924997,0.001316414,0.002853912,0.000107667,0.000811915,0.00018625,0.000796582,0.000202833,0.000104
94,0.9135104,0.01001565,1e-06,0.002441412,0.001336248,0.00406891,0.000116,0.000816665,0.00012525,0.000794082,0.000206583,0.0001095
95,0.9235261,0.01116865,1.083e-06,0.002364997,0.001318331,0.005228741,0.000123333,0.000816832,0.000130833,0.000833916,0.000207749,0.000142834
96,0.9346947,0.008550903,9.17e-07,0.002101497,0.001314997,0.002989496,0.000109416,0.000812749,0.000122333,0.000794749,0.000204583,0.000100166
97,0.9432456,0.01011332,1.417e-06,0.00194533,0.001575414,0.003775994,0.000114,0.000817582,0.000193583,0.001368414,0.000204833,0.00011675
98,0.9533589,0.0134344,1.333e-06,0.002316913,0.005901824,0.002936579,0.000123249,0.000850499,0.000149,0.000797832,0.000207583,0.000149583
99,0.9667933,0.01259398,9.17e-07,0.00193358,0.001334831,0.002852079,0.000108417,0.003910827,0.000214583,0.001239748,0.000865498,0.0001335
100,0.9793873,0.009198735,1.084e-06,0.002738912,0.001318914,0.002982246,0.000112749,0.000815166,0.00012225,0.000798915,0.000205083,0.000103416
101,0.9885861,0.0124019,1.084e-06,0.002477579,0.001335248,0.002997662,0.000112749,0.000816582,0.00012775,0.004182827,0.000209749,0.000140667
102,1.000988,0.01173006,8.33e-07,0.001936497,0.001318165,0.006281823,0.000125666,0.000816166,0.000133166,0.000783082,0.00021575,0.000118916
103,1.012718,0.01358898,9.17e-07,0.002795328,0.004227577,0.004289826,0.000127333,0.000804249,0.000141666,0.000850166,0.000225583,0.000126333
104,1.026307,0.01253715,6.67e-07,0.002506246,0.001436331,0.006418406,0.000117917,0.000812082,0.000131166,0.000794165,0.000203667,0.000116499
105,1.038844,0.01186815,1.416e-06,0.005367742,0.001351914,0.002857412,0.000130666,0.000806333,0.000150916,0.000782999,0.000216833,0.000201916
106,1.050712,0.01272881,9.17e-07,0.002770745,0.001304582,0.006314073,0.000137166,0.000803499,0.000144166,0.000912332,0.000215166,0.000126167
107,1.063441,0.01218381,8.33e-07,0.002490496,0.001454581,0.002914995,0.000109583,0.000814666,0.000122999,0.000794999,0.003268078,0.000212583
108,1.075625,0.01094806,1.083e-06,0.001930914,0.001328831,0.002854912,0.0001125,0.000964581,0.00013075,0.002549496,0.000924082,0.000150916
109,1.086573,0.009407234,1e-06,0.002803912,0.001328331,0.002978412,0.00011025,0.000883332,0.000122833,0.000869498,0.000205917,0.000103749
110,1.09598,0.009480901,1.083e-06,0.001946081,0.001426831,0.00367766,0.00011575,0.000814499,0.000125583,0.001051998,0.000204917,0.000116499
111,1.105461,0.01082698,8.34e-07,0.001963746,0.003559661,0.002929746,0.000228499,0.000850582,0.000146833,0.000796332,0.00020775,0.000143
112,1.116288,0.009255651,7.5e-07,0.002926495,0.001318914,0.002854496,0.000105833,0.000821582,0.000121083,0.000796749,0.000206833,0.000102916
113,1.125544,0.009014402,1.25e-06,0.002491662,0.001334415,0.002859079,0.000111833,0.000817582,0.000126583,0.000794165,0.000368416,0.000109417
114,1.134558,0.008907236,1.417e-06,0.00192058,0.001330248,0.003486244,0.00011625,0.000800832,0.0001405,0.000784832,0.000215833,0.0001105
115,1.143465,0.01125331,8.33e-07,0.002564163,0.001313664,0.005158325,0.0001385,0.000802165,0.000146417,0.000784415,0.000216917,0.000127916
116,1.154719,0.009074652,1.25e-06,0.002535996,0.001340331,0.002913245,0.00010775,0.000813332,0.000186666,0.000865665,0.000203167,0.00010725
117,1.163793,0.008526819,1.5e-06,0.001919414,0.001447081,0.002978078,0.000121916,0.000800916,0.000140333,0.000784249,0.000223083,0.000110249
118,1.17232,0.01132381,1.083e-06,0.002758995,0.001326082,0.005015575,0.000132833,0.000816832,0.000141916,0.000792749,0.000208833,0.000128916
119,1.183644,0.009125569,1.5e-06,0.002638579,0.001319498,0.002851579,0.00010725,0.000815248,0.000124334,0.000953998,0.00020725,0.000106333
120,1.19277,0.009076152,1.334e-06,0.001929913,0.001341498,0.003496327,0.000113167,0.000817499,0.000125083,0.000792998,0.000346583,0.00011175
121,1.201846,0.01128615,9.17e-07,0.002538329,0.001327164,0.005202575,0.000135583,0.000813916,0.000139499,0.000792083,0.000206833,0.000129249
122,1.213132,0.008896902,1.084e-06,0.002503496,0.001321914,0.002847329,0.000109166,0.000814916,0.000122249,0.000796666,0.000276166,0.000103916
123,1.222029,0.008909652,1.417e-06,0.001904163,0.001331331,0.003509078,0.000115416,0.000816082,0.000124417,0.000796499,0.000203583,0.000107666
124,1.230938,0.01131331,1e-06,0.002683662,0.001309331,0.004999742,0.00012825,0.000923249,0.000136083,0.000794665,0.000205083,0.00013225
125,1.242252,0.01094281,1.25e-06,0.002480579,0.001314165,0.002849745,0.000107666,0.000814249,0.000121667,0.002739662,0.000306916,0.000206916
126,1.253195,0.01060623,1.083e-06,0.001924164,0.003535327,0.002871412,0.00012025,0.000816499,0.000137416,0.000783416,0.000215583,0.000201083
127,1.263801,0.01175156,1.333e-06,0.003054495,0.001318332,0.002980661,0.00011125,0.000800666,0.000134499,0.002991662,0.000212083,0.000146583
128,1.275552,0.008920902,1.25e-06,0.002461663,0.001458664,0.002844746,0.000111083,0.000813998,0.000126917,0.000785082,0.000213916,0.000103583
129,1.284473,0.008377069,1.083e-06,0.001987163,0.001383915,0.002846579,0.000110666,0.000817915,0.000125917,0.000794832,0.000204166,0.000104833
130,1.29285,0.0114739,1e-06,0.004960242,0.001330248,0.003015912,0.000112583,0.000811249,0.00012575,0.000791498,0.00020575,0.000119666
131,1.304324,0.0117199,1.25e-06,0.002460163,0.001304831,0.002842079,0.000182749,0.002919412,0.000185583,0.001474331,0.000207167,0.000142333
132,1.316044,0.00843932,1.25e-06,0.001919081,0.001377497,0.002983745,0.00011,0.000815249,0.000123916,0.000796999,0.000204916,0.000106667
133,1.324483,0.008762236,1.167e-06,0.002042164,0.001323081,0.003220494,0.000112334,0.000816332,0.000128749,0.000802582,0.000204833,0.0001105
134,1.333246,0.009468901,1.083e-06,0.001932247,0.001395831,0.003118328,0.000116917,0.00161708,0.000138167,0.000832665,0.000206666,0.000109917
135,1.342715,0.0107424,9.17e-07,0.004176909,0.001348248,0.002856162,0.000116583,0.000940916,0.000134166,0.000831249,0.000206249,0.000131
136,1.353457,0.0127179,7.5e-07,0.002756995,0.001310665,0.005175158,0.000172,0.002016663,0.00014575,0.000797415,0.00021,0.0001325
137,1.366175,0.008944319,1.334e-06,0.002473996,0.001313664,0.002853746,0.000107083,0.000816415,0.000270666,0.000799416,0.000202249,0.00010575
138,1.375119,0.008577236,1.166e-06,0.001917747,0.001453581,0.003040579,0.000113083,0.000814748,0.000127167,0.000784499,0.000215249,0.000109417
139,1.383696,0.009655901,1e-06,0.001945164,0.001574747,0.003826077,0.000112083,0.000812749,0.000126333,0.000874249,0.000241999,0.0001415
140,1.393352,0.01101157,1.084e-06,0.002308413,0.001322748,0.005179991,0.00013175,0.000817249,0.000132333,0.000791582,0.000206666,0.00011975
141,1.404364,0.008336569,1e-06,0.00193008,0.001319998,0.002856162,0.000109083,0.000812832,0.00012275,0.000875665,0.000205333,0.000103666
142,1.4127,0.01011407,1e-06,0.002519996,0.001337498,0.004085493,0.000124916,0.000802749,0.000137167,0.000782248,0.000214833,0.000108167
143,1.422815,0.01115206,9.17e-07,0.002283913,0.001329664,0.005265992,0.000137583,0.000805498,0.00014175,0.000826082,0.000217916,0.00014275
144,1.433967,0.00840457,1.084e-06,0.001917663,0.001325748,0.002994495,0.000108667,0.000814998,0.00012175,0.000800499,0.000202416,0.00011725
145,1.442371,0.009647901,1.25e-06,0.00193333,0.001573164,0.003837994,0.000126667,0.000802332,0.000124583,0.000924832,0.000214499,0.00010925
146,1.452019,0.01113165,1e-06,0.002368747,0.001311664,0.005179658,0.0001365,0.000805832,0.000139083,0.000827082,0.000216167,0.000145916
147,1.463151,0.00824632,1.25e-06,0.001901664,0.001339998,0.002858995,0.00010875,0.000813498,0.000122334,0.000782332,0.000214999,0.0001025
148,1.471397,0.01025957,9.16e-07,0.003703994,0.001345498,0.003046412,0.00011225,0.000815498,0.000128167,0.000791582,0.000203083,0.000112166
149,1.481657,0.01108515,1.166e-06,0.00231308,0.001312998,0.005201908,0.000123166,0.000812582,0.000131834,0.000837081,0.000206833,0.0001445
150,1.492742,0.008498569,1.167e-06,0.002037996,0.001314998,0.002995412,0.000109583,0.000816915,0.000122833,0.000792249,0.000205667,0.000101749
151,1.50124,0.009618901,1.25e-06,0.002016663,0.001569581,0.003796244,0.000114666,0.000814999,0.000126667,0.000792498,0.00027875,0.000107583
152,1.510859,0.0110629,1.25e-06,0.002321163,0.001313081,0.005165075,0.00012475,0.000812082,0.000135666,0.000836666,0.000207749,0.000145417
153,1.521922,0.008413237,7.5e-07,0.001927664,0.001340248,0.002850079,0.000106499,0.000804582,0.0001295,0.000939999,0.000206916,0.000107
154,1.530335,0.009446318,1.417e-06,0.00195283,0.001611331,0.003725744,0.000113083,0.000813499,0.000125749,0.000791916,0.0002035,0.000107249
155,1.539782,0.01110573,1.333e-06,0.002286913,0.001319248,0.005245492,0.000126166,0.000812416,0.000130666,0.000832999,0.000207333,0.000143166
156,1.550887,0.008450987,1e-06,0.001984747,0.001331581,0.002854496,0.000104833,0.000949998,0.000123417,0.000784249,0.000213666,0.000103
157,1.559338,0.009454651,1.25e-06,0.001923414,0.00157908,0.003785161,0.000114333,0.000812749,0.000125499,0.000799082,0.000205167,0.000108916
158,1.568793,0.01099682,7.5e-07,0.002320579,0.001313332,0.005109741,0.000123667,0.000812498,0.00012925,0.000860749,0.000205916,0.000120333
159,1.57979,0.01179765,7.5e-07,0.002038663,0.001314582,0.005631407,0.000735582,0.000816416,0.000138916,0.000792499,0.000205666,0.000123166
160,1.591587,0.01149923,1e-06,0.002757413,0.001332664,0.005216742,0.000126166,0.000812832,0.000132,0.000792749,0.000207666,0.00012
161,1.603087,0.01121365,1.333e-06,0.002536246,0.001391748,0.004959659,0.000138416,0.000930582,0.000135583,0.000782415,0.000216333,0.000121333
162,1.6143,0.01130365,9.17e-07,0.002119913,0.001323248,0.002852828,0.000109417,0.003629827,0.000148667,0.000794665,0.000208083,0.000116083
163,1.625604,0.01381389,1.083e-06,0.002767912,0.001321498,0.006446156,0.00020925,0.001754997,0.000139167,0.000828915,0.000205083,0.000139833
