OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
55,20.06717,0.332964,1.334e-06,0.1462086,8.33e-07,0.007421157,0.01655631,0.03740287,0.01195607,0.01795922,0.02788729,0.01281265,0.01110198,0.0211578,0.02037514,0.002122747
56,20.40013,0.3354499,1.584e-06,0.1462226,8.33e-07,0.007373657,0.01708581,0.03737262,0.01221198,0.01949781,0.02901946,0.01284532,0.01061165,0.0213333,0.02028397,0.001589248
57,20.73558,0.3048932,1.084e-06,0.1439872,1.167e-06,0.007477073,0.01722598,0.01414498,0.01140115,0.01653048,0.02643071,0.01314648,0.0110809,0.02127564,0.02019397,0.001996414
58,21.04047,0.3166831,1.25e-06,0.1451699,8.34e-07,0.007505406,0.0104139,0.0224218,0.01848089,0.01431423,0.02863746,0.01687573,0.01033215,0.02105855,0.01998422,0.001486831
59,21.35716,0.3321095,2.25e-06,0.1554085,1e-06,0.007372573,0.01662948,0.03710062,0.01149115,0.01354857,0.02446338,0.01257623,0.0106914,0.02105114,0.02017147,0.001601748
60,21.68927,0.3602891,1.666e-06,0.1506725,8.33e-07,0.00740249,0.01689306,0.05652717,0.01913939,0.01350348,0.02257022,0.01454006,0.0148769,0.02237597,0.02027614,0.001509165
61,22.04956,0.3379651,1.084e-06,0.144554,9.17e-07,0.009793237,0.02543571,0.03442987,0.01914064,0.01291348,0.02263964,0.01423106,0.01113757,0.02116864,0.02009581,0.002423496
62,22.38752,0.3124223,1.5e-06,0.1456744,9.16e-07,0.00753699,0.0104174,0.0225923,0.01771406,0.01393223,0.02697438,0.01404873,0.01081782,0.02105605,0.01993031,0.001725248
63,22.69994,0.3256992,2.417e-06,0.1538104,1.083e-06,0.00961882,0.02543547,0.01332807,0.01226698,0.01715089,0.02678846,0.01318731,0.01097749,0.02153297,0.02011214,0.001486748
64,23.02564,0.3082152,1.583e-06,0.1453678,8.33e-07,0.009595237,0.02520563,0.01266482,0.01054907,0.01471756,0.02404772,0.01227015,0.01083024,0.02106189,0.02030281,0.001599914
65,23.33386,0.3152177,1.584e-06,0.1508696,9.16e-07,0.01004507,0.02481563,0.01253307,0.01096032,0.01459206,0.0256528,0.01251032,0.0103334,0.02120572,0.02020022,0.001496998
66,23.64907,0.3173116,1.333e-06,0.149035,9.17e-07,0.009720986,0.0250153,0.01322848,0.0115219,0.01517356,0.02548047,0.01347257,0.01108923,0.02117672,0.02010581,0.002289247
67,23.96639,0.3163531,1.167e-06,0.1458448,1e-06,0.00956382,0.0251478,0.01341056,0.01210165,0.01664998,0.02644838,0.01274548,0.01087665,0.0211543,0.02090705,0.001500498
68,24.28274,0.3028179,1.417e-06,0.1468167,1.166e-06,0.007317657,0.009892486,0.02360563,0.009801237,0.0135499,0.02402797,0.0141599,0.01082582,0.02105655,0.02025597,0.001505498
