OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
82,3.748466,0.02701996,1.167e-06,0.002038413,5.84e-07,0.000390082,0.001482748,0.00582924,0.0112914,0.000631665,0.000843416,0.002849662,0.000492832,0.000796249,0.000229999,0.0001425
83,3.775486,0.02544288,1e-06,0.001900663,5.84e-07,0.000386999,0.001330331,0.01333323,0.002696913,0.000486832,0.000834416,0.002665329,0.000639415,0.000803749,0.000222083,0.000141333
84,3.800929,0.02251905,1.083e-06,0.00190108,5e-07,0.00040275,0.001046748,0.005548491,0.00801607,0.000505749,0.000840582,0.002604079,0.00049175,0.000794998,0.000222333,0.000142833
85,3.823448,0.02935795,1.166e-06,0.002122247,5.83e-07,0.001126498,0.004101077,0.0108659,0.005521741,0.000489333,0.000841331,0.002655663,0.000473582,0.000812832,0.000203583,0.000142417
86,3.852806,0.02377221,1e-06,0.001879747,6.67e-07,0.000395416,0.001337497,0.01161531,0.002514912,0.000483416,0.000844416,0.003055828,0.000487749,0.000807832,0.0002065,0.000141916
87,3.876578,0.02582604,9.17e-07,0.001891997,7.5e-07,0.000402083,0.001032081,0.01420481,0.002716163,0.000493999,0.000822248,0.00261458,0.000470832,0.000809999,0.000205583,0.00016
88,3.902404,0.02363521,1e-06,0.00212533,5.83e-07,0.001050082,0.002414412,0.009752818,0.002682245,0.000479333,0.000838999,0.002652079,0.000479749,0.000806582,0.000205833,0.000146166
89,3.926039,0.02542404,1.084e-06,0.001894913,5.83e-07,0.000417416,0.001328998,0.01334181,0.002702745,0.00049125,0.000917082,0.002689495,0.000481416,0.000808332,0.000204333,0.000144583
90,3.951463,0.02409405,1.084e-06,0.001910247,5.83e-07,0.000386583,0.001026498,0.01253698,0.002525079,0.000494166,0.000864998,0.002583579,0.000606999,0.000807832,0.000207083,0.000142334
91,3.975557,0.02593729,1.083e-06,0.001922997,9.17e-07,0.000429415,0.001039915,0.01418614,0.002688496,0.000505249,0.000848165,0.002677829,0.000476583,0.000812915,0.00020325,0.000144333
92,4.001494,0.02411746,1e-06,0.00188958,8.34e-07,0.000381666,0.000921665,0.01229215,0.002667579,0.000489415,0.000907332,0.002916829,0.000494999,0.000793165,0.000217333,0.000143917
93,4.025612,0.02428854,8.34e-07,0.00194533,5.83e-07,0.000430666,0.001033248,0.005551408,0.009633484,0.000548833,0.000832915,0.002664746,0.000475499,0.000806999,0.000206583,0.000157416
94,4.0499,0.02545846,1.083e-06,0.00189783,5.84e-07,0.000425166,0.001025748,0.005085242,0.01126982,0.000477832,0.000840666,0.002690829,0.000587332,0.000808082,0.000204833,0.000143416
95,4.075359,0.02524454,9.17e-07,0.001902163,1e-06,0.0004045,0.001324331,0.01335173,0.002499663,0.000498749,0.000889915,0.002737996,0.000472832,0.000811416,0.000205833,0.000143499
96,4.100603,0.02479779,1.083e-06,0.001908497,7.5e-07,0.001009665,0.001620081,0.01183165,0.002700746,0.000542749,0.000836999,0.002702662,0.000488666,0.000806165,0.000207333,0.00014075
97,4.125401,0.03142937,1.083e-06,0.00189333,6.67e-07,0.000436249,0.001573998,0.01009198,0.002735496,0.000483332,0.000835666,0.01160798,0.000490249,0.000925915,0.000208,0.000145416
98,4.156831,0.02540713,8.34e-07,0.001893913,5.84e-07,0.000398832,0.001328165,0.01360714,0.002581329,0.000484083,0.000842415,0.002631246,0.000478999,0.000811749,0.0002025,0.000145333
99,4.182238,0.03208328,1e-06,0.002346829,8.33e-07,0.000486416,0.001592664,0.009157902,0.002700996,0.000812748,0.000840166,0.01242531,0.000488999,0.000793582,0.0002215,0.000214333
100,4.214321,0.02136521,1.166e-06,0.002592913,6.66e-07,0.002457663,0.004924325,0.002973079,0.002719995,0.0004885,0.000840582,0.002709995,0.000497916,0.000810749,0.000206999,0.000140667
101,4.235686,0.02684571,1.083e-06,0.001910581,6.66e-07,0.000429416,0.000927332,0.003453078,0.002459579,0.000489583,0.000839082,0.01466923,0.000500249,0.000813832,0.000206333,0.000145666
102,4.262532,0.03519736,1.083e-06,0.003003495,8.33e-07,0.00251433,0.004924742,0.007374321,0.002719412,0.000499916,0.000822582,0.01153015,0.000492999,0.000881999,0.000286666,0.000144833
103,4.297729,0.02621471,1.083e-06,0.001875164,5.83e-07,0.00043925,0.001034081,0.01476264,0.002537246,0.000499582,0.000836082,0.002587079,0.000486916,0.000792166,0.000218999,0.000143833
104,4.323944,0.02521963,1.167e-06,0.002037663,5.84e-07,0.000395166,0.000922332,0.003390494,0.002604496,0.000478832,0.000959582,0.01277606,0.000489749,0.000811332,0.000207666,0.0001445
105,4.349164,0.02431113,1.084e-06,0.00188708,6.67e-07,0.000383999,0.001032248,0.01262048,0.002726162,0.000499332,0.000837582,0.002684079,0.00047725,0.000810248,0.000205167,0.000145749
106,4.373475,0.02417696,1.166e-06,0.001882747,6.67e-07,0.000409333,0.000938498,0.004060077,0.002462662,0.0004945,0.000829832,0.01144423,0.000494749,0.000808166,0.000207333,0.000142999
107,4.397652,0.02542938,8.33e-07,0.001902914,5.83e-07,0.000395916,0.001379248,0.01331564,0.002540579,0.000637499,0.000838999,0.002778495,0.000476749,0.000811166,0.000205666,0.000145083
108,4.423081,0.0232368,1.417e-06,0.001897913,6.67e-07,0.000388249,0.001028249,0.00586424,0.008438236,0.0004795,0.000838915,0.002661579,0.000477166,0.000812165,0.00020525,0.00014325
109,4.446318,0.02592229,9.17e-07,0.001921163,7.5e-07,0.000446333,0.001028832,0.01415023,0.002725329,0.000487082,0.000836749,0.002692745,0.0004725,0.000810915,0.000206416,0.000142333
110,4.47224,0.02372121,1.25e-06,0.00191458,8.34e-07,0.000380916,0.001392414,0.01165615,0.002681412,0.000490999,0.000836999,0.002712662,0.000481333,0.000808249,0.000205999,0.000157417
111,4.495961,0.02602288,8.34e-07,0.001892913,6.67e-07,0.000401166,0.001025998,0.01421289,0.002793079,0.000485832,0.000860999,0.002695662,0.000479666,0.000826748,0.000203417,0.000143
112,4.521984,0.02247546,9.16e-07,0.001896831,6.66e-07,0.000377333,0.001029582,0.005075325,0.008456236,0.000481749,0.000832166,0.002666912,0.000477332,0.000808666,0.000206916,0.000164833
113,4.54446,0.02548062,1.166e-06,0.001898331,7.5e-07,0.000391082,0.001327498,0.01329565,0.002695996,0.000474999,0.000854749,0.002893995,0.000476666,0.000805332,0.000205083,0.000159333
114,4.56994,0.02687862,8.33e-07,0.001907914,8.33e-07,0.000426749,0.001031832,0.01529231,0.00254058,0.000497082,0.000833415,0.002582996,0.000595583,0.000819748,0.000203667,0.000145083
115,4.596819,0.02508638,1.334e-06,0.002308913,6.66e-07,0.000932999,0.002288663,0.01135773,0.002639663,0.000479332,0.000833499,0.002617579,0.000468416,0.000808998,0.0002075,0.000141083
116,4.621905,0.02351579,1.0666e-05,0.001904331,5.83e-07,0.001060581,0.002469246,0.009620818,0.002661412,0.000625166,0.000833832,0.002674496,0.000491166,0.000812498,0.0002045,0.0001465
117,4.645421,0.02648262,1e-06,0.001891997,7.5e-07,0.000809415,0.001085248,0.01409756,0.002684995,0.000592916,0.000825915,0.002702079,0.000630582,0.000810249,0.00020375,0.000146166
118,4.671904,0.02354054,1.167e-06,0.002295913,7.5e-07,0.000894415,0.002373913,0.009705401,0.002669412,0.000482666,0.000837332,0.002644329,0.000480416,0.000807665,0.000204583,0.000142583
119,4.695444,0.02543421,9.16e-07,0.001901581,7.5e-07,0.000374332,0.001452998,0.01321265,0.002826745,0.000490666,0.000835582,0.002695079,0.000480166,0.000812665,0.000204583,0.0001455
120,4.720879,0.02409729,1.334e-06,0.001903413,5.84e-07,0.000395916,0.001029581,0.01248448,0.002517079,0.000480916,0.000830499,0.002792079,0.000493665,0.000819749,0.000206416,0.000141583
121,4.744976,0.02412213,1.167e-06,0.00189933,7.5e-07,0.0003655,0.001024831,0.005060659,0.01019715,0.000498999,0.000839999,0.002597912,0.000478583,0.000809748,0.000205917,0.000141583
122,4.769098,0.02365588,9.17e-07,0.001903414,6.66e-07,0.000425083,0.001355414,0.01162823,0.002714246,0.000476249,0.000855499,0.002651579,0.000487666,0.000811665,0.00020375,0.000141499
